Sample	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-percent_gc	FastQC_mqc-generalstats-avg_sequence_length	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-total_sequences
SRR5679904_clean_1	87.65969368557093	51.0	132.74752449023333	20.0	30355162.0
SRR5679904_clean_2	89.11578583132417	50.0	133.25120643401607	40.0	30355162.0
SRR5679905_clean_1	91.43247714648811	48.0	133.67457078245388	30.0	27561548.0
SRR5679905_clean_2	91.47854473829517	46.0	134.5138316976971	40.0	27561548.0
SRR5679906_clean_1	85.29067602577561	40.0	136.8660688344714	40.0	23628481.0
SRR5679906_clean_2	87.78989614827881	38.0	137.979816011025	40.0	23628481.0
SRR5679907_clean_1	88.65277771935006	45.0	135.89583536664392	40.0	27746212.0
SRR5679907_clean_2	90.5953765135257	43.0	136.48614527993948	40.0	27746212.0
SRR5679908_clean_1	86.0149528222203	41.0	138.57604487354953	40.0	28407648.0
SRR5679908_clean_2	88.11444823149239	38.0	139.60188749170646	40.0	28407648.0
SRR5679909_clean_1	90.98322755261724	45.0	137.4011478663323	40.0	28538863.0
SRR5679909_clean_2	92.8743485175223	43.0	137.88958635107502	40.0	28538863.0
