Sample	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-percent_gc	FastQC_mqc-generalstats-avg_sequence_length	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-total_sequences
SRR5679904_1	88.22767167632222	51.0	147.51842073122756	30.0	30376590.0
SRR5679904_2	90.48103571646585	49.0	148.42959937241145	50.0	30376590.0
SRR5679905_1	92.13587686136884	48.0	146.71644054538663	40.0	27600970.0
SRR5679905_2	92.34160585992507	46.0	148.10983251675574	50.0	27600970.0
SRR5679906_1	86.29578093878075	41.0	146.93571180274108	50.0	23643889.0
SRR5679906_2	88.99246449475494	38.0	148.39281947229577	50.0	23643889.0
SRR5679907_1	88.87456923398155	46.0	147.49572031404963	50.0	27768860.0
SRR5679907_2	91.5340530095264	44.0	148.37077705026422	50.0	27768860.0
SRR5679908_1	86.83728087819807	41.0	146.97507649542962	50.0	28424574.0
SRR5679908_2	88.92142735486834	39.0	148.26802315489408	50.0	28424574.0
SRR5679909_1	91.29222985087009	46.0	147.6158208951983	50.0	28554187.0
SRR5679909_2	93.70852612566935	43.0	148.27887559887452	50.0	28554187.0
