Sample	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-percent_gc	FastQC_mqc-generalstats-avg_sequence_length	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-total_sequences
SRR5712482_clean_1	86.03012770221127	49.0	146.2138919050537	40.0	14341244.0
SRR5712482_clean_2	85.62055156037516	47.0	145.39792670705555	40.0	14341244.0
SRR5712483_clean_1	88.13488785580945	52.0	146.84562249395142	30.0	14448044.0
SRR5712483_clean_2	87.02215990093627	49.0	145.94211818568658	30.0	14448044.0
SRR5712484_clean_1	83.92806342542269	49.0	146.53556679785115	20.0	17936827.0
SRR5712484_clean_2	83.83600330597613	47.0	145.85698479446782	30.0	17936827.0
SRR5712485_clean_1	90.61967659091465	50.0	147.57928687973416	40.0	13457113.0
SRR5712485_clean_2	90.01673838675455	48.0	146.6988461789687	40.0	13457113.0
SRR5712486_clean_1	83.93322840234268	50.0	145.86168722087925	40.0	12935710.0
SRR5712486_clean_2	84.43407693977366	48.0	145.17037224860482	40.0	12935710.0
SRR5712487_clean_1	67.79722667549362	49.0	145.88743664179913	20.0	28198599.0
SRR5712487_clean_2	73.40013124045231	47.0	145.8447785296	20.0	28198599.0
