Sample	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-percent_gc	FastQC_mqc-generalstats-avg_sequence_length	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-total_sequences
SRR5712482_1	86.33413160311544	49.0	149.60618785128256	40.0	14341909.0
SRR5712482_2	85.71942073707919	47.0	148.68034882943408	40.0	14341909.0
SRR5712483_1	88.37192926227314	52.0	149.6444306054083	30.0	14448662.0
SRR5712483_2	87.06796990092373	49.0	148.61993456556738	30.0	14448662.0
SRR5712484_1	84.42810415590355	49.0	149.55268027580715	20.0	17938042.0
SRR5712484_2	84.15275245759129	47.0	148.77305750538437	30.0	17938042.0
SRR5712485_1	90.77799857229954	50.0	149.6254403659547	40.0	13457841.0
SRR5712485_2	90.09701050398623	48.0	148.73911974439287	30.0	13457841.0
SRR5712486_1	84.20771962875227	50.0	149.61795471456932	40.0	12936346.0
SRR5712486_2	84.51402292629896	48.0	148.88708109693417	30.0	12936346.0
SRR5712487_1	67.90793164150057	49.0	149.30160568225318	30.0	28200785.0
SRR5712487_2	73.63809275035513	47.0	149.23382806542443	20.0	28200785.0
