File	Group
SRR5687235	colorectal
SRR5687236	colorectal
SRR5687237	colorectal
SRR5687238	colorectal
SRR5687239	colorectal
SRR5687240	colorectal
SRR5687241	colorectal
SRR5687242	colorectal
SRR5687243	colorectal
SRR5687244	colorectal
SRR5687245	colorectal
SRR5687246	colorectal
SRR5712516	hepatocellular
SRR5712517	hepatocellular
SRR5712518	hepatocellular
SRR5712519	hepatocellular
SRR5712520	hepatocellular
SRR5712521	hepatocellular
SRR5712522	hepatocellular
SRR5712523	hepatocellular
SRR5712524	hepatocellular
SRR5712525	hepatocellular
SRR5712526	hepatocellular
SRR5712527	hepatocellular
SRR5712528	hepatocellular
SRR5712529	hepatocellular
SRR5712530	hepatocellular
SRR5712531	hepatocellular
SRR5712532	hepatocellular
SRR5712533	hepatocellular
SRR5712534	hepatocellular
SRR5712535	hepatocellular
SRR5712536	hepatocellular
SRR5712482	normal
SRR5712483	normal
SRR5712484	normal
SRR5712485	normal
SRR5712486	normal
SRR5712487	normal
SRR5712488	normal
SRR5712489	normal
SRR5712490	normal
SRR5712491	normal
SRR5712492	normal
SRR5712493	normal
SRR5712494	normal
SRR5712495	normal
SRR5712496	normal
SRR5712497	normal
SRR5712498	normal
SRR5712499	normal
SRR5712500	normal
SRR5712501	normal
SRR5712502	normal
SRR5712503	normal
SRR5712504	normal
SRR5712505	normal
SRR5712506	normal
SRR5712507	normal
SRR5712508	normal
SRR5712509	normal
SRR5712510	normal
SRR5712511	normal
SRR5712512	normal
SRR5712513	normal
SRR5714908	pancreatic
SRR5714909	pancreatic
SRR5714910	pancreatic
SRR5714911	pancreatic
SRR5714912	pancreatic
SRR5714913	pancreatic
SRR5714914	pancreatic
SRR5714915	pancreatic
SRR5714916	pancreatic
SRR5714917	pancreatic
SRR5714918	pancreatic
SRR5714919	pancreatic
SRR5714920	pancreatic
SRR5714921	pancreatic
