Sample	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-percent_gc	FastQC_mqc-generalstats-avg_sequence_length	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-total_sequences
SRR5687235_clean_1	58.32641676796761	50.0	131.71946175658746	20.0	13664301.0
SRR5687235_clean_2	65.4422563587662	49.0	132.03814604201122	20.0	13664301.0
SRR5687236_clean_1	62.54160912306036	51.0	131.99280251456156	20.0	11945144.0
SRR5687236_clean_2	72.78809996155988	50.0	132.77108907184376	30.0	11945144.0
SRR5687237_clean_1	61.16136945354579	51.0	132.77256329215265	20.0	20484688.0
SRR5687237_clean_2	67.13094678374392	50.0	132.90735465436427	20.0	20484688.0
SRR5687238_clean_1	70.76650627181328	52.0	131.4038755899412	20.0	14462882.0
SRR5687238_clean_2	74.96556882025443	51.0	131.3248727328343	30.0	14462882.0
SRR5687239_clean_1	54.71153888403705	52.0	136.43477311337836	20.0	8182523.0
SRR5687239_clean_2	67.23516750763628	50.0	137.04327601645605	30.0	8182523.0
SRR5687240_clean_1	72.32560388205995	49.0	141.80729145860636	40.0	5657414.0
SRR5687240_clean_2	76.88148966376698	47.0	141.5647976266188	40.0	5657414.0
SRR5687241_clean_1	67.54397637534501	50.0	138.90316627651777	20.0	10781781.0
SRR5687241_clean_2	74.79282180528074	49.0	139.5112894613608	30.0	10781781.0
SRR5687242_clean_1	53.23326254140884	50.0	133.45209120514656	20.0	13597566.0
SRR5687242_clean_2	58.51011175470054	49.0	133.83943839654833	20.0	13597566.0
SRR5687243_clean_1	66.65380230280557	48.0	131.73084400482185	40.0	15706806.0
SRR5687243_clean_2	72.07664343902827	47.0	131.52196799272875	30.0	15706806.0
SRR5687244_clean_1	55.361685358358486	50.0	140.298901857673	30.0	13877254.0
SRR5687244_clean_2	66.19891958441053	48.0	139.94327516092162	30.0	13877254.0
SRR5687245_clean_1	71.13760173171738	49.0	133.67433799152505	40.0	11932098.0
SRR5687245_clean_2	77.28148677025686	48.0	133.3002789618389	40.0	11932098.0
SRR5687246_clean_1	75.90017708617573	52.0	138.8462300744937	30.0	14379873.0
SRR5687246_clean_2	76.01128527871238	50.0	138.17154560405368	30.0	14379873.0
