Sample	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-percent_gc	FastQC_mqc-generalstats-avg_sequence_length	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-total_sequences
SRR5687235_1	60.83877228242156	50.0	147.97556045633317	30.0	13669486.0
SRR5687235_2	68.14960356443731	49.0	148.34062326849744	40.0	13669486.0
SRR5687236_1	64.20073594439184	51.0	147.6984051313529	40.0	11948194.0
SRR5687236_2	74.4313634773204	50.0	148.61654037421889	40.0	11948194.0
SRR5687237_1	63.134354014393445	51.0	148.2379277732942	30.0	20490731.0
SRR5687237_2	69.11749005457436	50.0	148.39048636185797	30.0	20490731.0
SRR5687238_1	72.53080215554971	52.0	148.14958343151895	30.0	14466649.0
SRR5687238_2	76.67464084180692	51.0	148.20010072823362	40.0	14466649.0
SRR5687239_1	56.43123189203568	52.0	147.95262303025623	30.0	8184694.0
SRR5687239_2	68.94545339068937	51.0	148.55873377795186	40.0	8184694.0
SRR5687240_1	72.78526997068234	49.0	148.7555424066881	50.0	5658282.0
SRR5687240_2	77.39987399750078	47.0	148.3248395891191	50.0	5658282.0
SRR5687241_1	68.51583463029361	50.0	148.43315490069668	30.0	10783528.0
SRR5687241_2	75.79251164597011	49.0	148.9282081893792	40.0	10783528.0
SRR5687242_1	54.99424802333843	50.0	147.6594242955695	30.0	13601945.0
SRR5687242_2	60.097378489360004	49.0	148.4079426140894	30.0	13601945.0
SRR5687243_1	69.25470006419135	48.0	148.3162934754807	50.0	15713081.0
SRR5687243_2	74.649529069634	47.0	148.2044727574433	40.0	15713081.0
SRR5687244_1	56.55370676189698	50.0	148.87949968519953	40.0	13880221.0
SRR5687244_2	67.36307647533096	49.0	148.39390028444072	40.0	13880221.0
SRR5687245_1	72.66851300799287	49.0	148.49278387792293	50.0	11936328.0
SRR5687245_2	78.71835274447233	48.0	148.03014830021428	50.0	11936328.0
SRR5687246_1	76.53348465078577	52.0	149.23508476727025	40.0	14382025.0
SRR5687246_2	76.50325091607473	50.0	148.30611280400362	40.0	14382025.0
