Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR5712516_1	SRR5712516_1.clean.fastq	Conventional base calls	Sanger / Illumina 1.9	15334891.0	0.0	34-150	52.0	22.40802212434562	136.76385961921738	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR5712516_2	SRR5712516_2.clean.fastq	Conventional base calls	Sanger / Illumina 1.9	15334891.0	0.0	34-150	51.0	19.73441295319931	136.5295163167446	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR5712517_1	SRR5712517_1.clean.fastq	Conventional base calls	Sanger / Illumina 1.9	16316385.0	0.0	35-150	52.0	28.338490016134653	137.58448467598674	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR5712517_2	SRR5712517_2.clean.fastq	Conventional base calls	Sanger / Illumina 1.9	16316385.0	0.0	35-150	50.0	19.577887329899667	138.36279948039962	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR5712518_1	SRR5712518_1.clean.fastq	Conventional base calls	Sanger / Illumina 1.9	23904442.0	0.0	34-150	54.0	14.49713717500558	138.22346122950705	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR5712518_2	SRR5712518_2.clean.fastq	Conventional base calls	Sanger / Illumina 1.9	23904442.0	0.0	34-150	52.0	11.040494924068375	138.6178078116193	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR5712519_1	SRR5712519_1.clean.fastq	Conventional base calls	Sanger / Illumina 1.9	22617941.0	0.0	34-150	52.0	15.822790480342604	140.005835942361	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR5712519_2	SRR5712519_2.clean.fastq	Conventional base calls	Sanger / Illumina 1.9	22617941.0	0.0	34-150	51.0	12.229380136943785	140.26468258096526	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR5712520_1	SRR5712520_1.clean.fastq	Conventional base calls	Sanger / Illumina 1.9	15609033.0	0.0	35-150	51.0	25.735721110328573	139.16975913882686	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR5712520_2	SRR5712520_2.clean.fastq	Conventional base calls	Sanger / Illumina 1.9	15609033.0	0.0	35-150	49.0	16.247648609504026	140.06220103449073	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR5712521_1	SRR5712521_1.clean.fastq	Conventional base calls	Sanger / Illumina 1.9	16329801.0	0.0	34-150	50.0	21.698842002260932	138.67114951370198	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR5712521_2	SRR5712521_2.clean.fastq	Conventional base calls	Sanger / Illumina 1.9	16329801.0	0.0	34-150	49.0	20.119092527102417	138.04782954795346	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR5712522_1	SRR5712522_1.clean.fastq	Conventional base calls	Sanger / Illumina 1.9	17227011.0	0.0	35-150	50.0	25.4461352939184	137.8241815135545	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR5712522_2	SRR5712522_2.clean.fastq	Conventional base calls	Sanger / Illumina 1.9	17227011.0	0.0	35-150	49.0	21.901666474491854	137.73790247187978	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR5712523_1	SRR5712523_1.clean.fastq	Conventional base calls	Sanger / Illumina 1.9	22604862.0	0.0	35-150	51.0	26.012831672301278	126.33082139585723	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass
SRR5712523_2	SRR5712523_2.clean.fastq	Conventional base calls	Sanger / Illumina 1.9	22604862.0	0.0	35-150	50.0	24.000282633647256	126.15651287762783	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
