Sample	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-percent_gc	FastQC_mqc-generalstats-avg_sequence_length	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-total_sequences
SRR5712516_1	77.59197787565438	52.0	136.76385961921738	30.0	15334891.0
SRR5712516_2	80.26558704680069	51.0	136.5295163167446	30.0	15334891.0
SRR5712517_1	71.66150998386534	52.0	137.58448467598674	30.0	16316385.0
SRR5712517_2	80.42211267010033	50.0	138.36279948039962	30.0	16316385.0
SRR5712518_1	85.50286282499442	54.0	138.22346122950705	40.0	23904442.0
SRR5712518_2	88.95950507593163	52.0	138.6178078116193	30.0	23904442.0
SRR5712519_1	84.1772095196574	52.0	140.005835942361	40.0	22617941.0
SRR5712519_2	87.77061986305621	51.0	140.26468258096526	30.0	22617941.0
SRR5712520_1	74.26427888967143	51.0	139.16975913882686	40.0	15609033.0
SRR5712520_2	83.75235139049597	49.0	140.06220103449073	40.0	15609033.0
SRR5712521_1	78.30115799773907	50.0	138.67114951370198	30.0	16329801.0
SRR5712521_2	79.88090747289758	49.0	138.04782954795346	30.0	16329801.0
SRR5712522_1	74.5538647060816	50.0	137.8241815135545	30.0	17227011.0
SRR5712522_2	78.09833352550814	49.0	137.73790247187978	40.0	17227011.0
SRR5712523_1	73.98716832769873	51.0	126.33082139585723	30.0	22604862.0
SRR5712523_2	75.99971736635274	50.0	126.15651287762783	30.0	22604862.0
SRR5712524_1	76.21816087310648	52.0	137.313386172662	30.0	14592035.0
SRR5712524_2	76.95835409693717	51.0	137.00959132841993	30.0	14592035.0
SRR5712525_1	74.05566373320133	51.0	138.4583985431994	30.0	14767704.0
SRR5712525_2	76.24742265524047	49.0	138.2407098625487	30.0	14767704.0
SRR5712526_1	81.33061953057361	53.0	137.81129053765267	30.0	11691507.0
SRR5712526_2	82.8583082497758	51.0	137.4741125331405	30.0	11691507.0
SRR5712527_1	79.61419093978756	56.0	130.9487165799623	40.0	15829463.0
SRR5712527_2	81.79904868726237	54.0	130.5583166655748	40.0	15829463.0
SRR5712528_1	77.57964603860243	52.0	138.13763724914259	40.0	13732053.0
SRR5712528_2	81.07024942226259	50.0	137.69420289886733	40.0	13732053.0
SRR5712529_1	78.99018785650348	53.0	139.98385724246975	40.0	15695088.0
SRR5712529_2	81.50578777961826	51.0	139.5593579978653	30.0	15695088.0
SRR5712530_1	73.94082888740078	51.0	142.22039445819678	40.0	14614882.0
SRR5712530_2	77.80204181089033	49.0	141.66036003574987	40.0	14614882.0
SRR5712531_1	80.6277195575454	52.0	142.5279628638315	40.0	15861841.0
SRR5712531_2	82.97388369172734	51.0	141.9456418079087	30.0	15861841.0
SRR5712532_1	78.06892317628129	49.0	139.5618804730283	40.0	15642277.0
SRR5712532_2	79.9096884213071	48.0	138.9116645230103	40.0	15642277.0
SRR5712533_1	78.13539599998495	49.0	140.1041435366598	40.0	13695233.0
SRR5712533_2	79.57799091320469	47.0	139.1742826865377	40.0	13695233.0
SRR5712534_1	73.2877636648914	50.0	133.12068132955085	40.0	15927153.0
SRR5712534_2	76.23811682548099	49.0	132.8115624305235	40.0	15927153.0
SRR5712535_1	74.77749370204822	52.0	139.98235651013366	40.0	17287963.0
SRR5712535_2	77.81173149681926	50.0	139.5270183653216	30.0	17287963.0
SRR5712536_1	71.24414128595106	52.0	140.8727844718306	40.0	16613420.0
SRR5712536_2	74.75120706451608	50.0	140.46842642875458	30.0	16613420.0
