Sample	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-percent_gc	FastQC_mqc-generalstats-avg_sequence_length	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-total_sequences
SRR5712517_1	72.718038187591	52.0	148.05370724093618	40.0	16318470.0
SRR5712517_2	81.15232019556615	51.0	148.6675003845336	40.0	16318470.0
SRR5712518_1	85.93066275064157	53.0	148.13070373166636	50.0	23907550.0
SRR5712518_2	89.36525548858997	52.0	148.76527477721473	40.0	23907550.0
SRR5712519_1	84.58276865882947	52.0	148.48102332630384	50.0	22620429.0
SRR5712519_2	88.18310440537252	51.0	148.58595413906608	40.0	22620429.0
SRR5712520_1	74.98308533069249	51.0	148.1025592177101	50.0	15610786.0
SRR5712520_2	84.31297410253664	49.0	148.80970689112002	40.0	15610786.0
SRR5712521_1	79.24024061616421	50.0	149.1513745980737	40.0	16331974.0
SRR5712521_2	80.57172430270552	49.0	148.3440576136112	40.0	16331974.0
SRR5712522_1	75.63883663014308	50.0	148.9445853986507	40.0	17229394.0
SRR5712522_2	79.005292939156	49.0	148.91305068535783	50.0	17229394.0
SRR5712523_1	76.98522292161957	50.0	148.43114967547612	40.0	22611433.0
SRR5712523_2	78.51527049478123	50.0	148.31623174877947	40.0	22611433.0
SRR5712524_1	77.34617970970143	52.0	149.08118636796587	40.0	14594359.0
SRR5712524_2	78.01931043297586	51.0	148.69942057749847	40.0	14594359.0
SRR5712525_1	75.13879126157666	51.0	149.09435855688315	40.0	14770086.0
SRR5712525_2	77.27251754083922	49.0	148.84207492089078	40.0	14770086.0
SRR5712526_1	82.34197317376508	52.0	148.9354306901126	40.0	11693512.0
SRR5712526_2	83.852541032601	51.0	148.63245986321303	40.0	11693512.0
SRR5712527_1	81.8046288235183	55.0	148.50764708661183	50.0	15834004.0
SRR5712527_2	83.64107977324342	54.0	148.11379231683912	50.0	15834004.0
SRR5712528_1	78.76861915908911	52.0	149.04121930020833	50.0	13734173.0
SRR5712528_2	81.9277508112117	50.0	148.51768002339858	50.0	13734173.0
SRR5712529_1	79.86384082573643	53.0	149.23239345142076	50.0	15696901.0
SRR5712529_2	82.02645304084118	51.0	148.69333946872698	40.0	15696901.0
SRR5712530_1	74.65542894998454	51.0	149.22169644961528	50.0	14616585.0
SRR5712530_2	78.26230140952632	49.0	148.5265094411588	40.0	14616585.0
SRR5712531_1	81.10688822710233	52.0	149.30579197577345	50.0	15863585.0
SRR5712531_2	83.29856648542211	51.0	148.57345555875295	40.0	15863585.0
SRR5712532_1	78.81018901529765	49.0	148.86425663617882	50.0	15644809.0
SRR5712532_2	80.58244400201355	48.0	148.17687170230073	50.0	15644809.0
SRR5712533_1	78.7115423709437	49.0	148.97799147495638	50.0	13697056.0
SRR5712533_2	80.12424398658904	47.0	147.84590579172635	50.0	13697056.0
SRR5712534_1	74.92172085686802	50.0	148.7431411963352	50.0	15930803.0
SRR5712534_2	77.84084326662811	49.0	148.42114267560774	50.0	15930803.0
SRR5712535_1	75.28866340032344	51.0	149.14595418130762	50.0	17289974.0
SRR5712535_2	78.35730623062175	50.0	148.5665025869906	40.0	17289974.0
SRR5712536_1	72.22579347365294	52.0	149.19052780855034	50.0	16615627.0
SRR5712536_2	75.33570617078637	50.0	148.67128571193854	40.0	16615627.0
