Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR5712517_1	SRR5712517_1.fastq	Conventional base calls	Sanger / Illumina 1.9	16318470.0	0.0	58-150	52.0	27.281961812408994	148.05370724093618	pass	pass	pass	fail	warn	pass	warn	fail	fail	fail
SRR5712517_2	SRR5712517_2.fastq	Conventional base calls	Sanger / Illumina 1.9	16318470.0	0.0	50-150	51.0	18.847679804433852	148.6675003845336	pass	pass	pass	fail	fail	pass	warn	fail	warn	fail
SRR5712518_1	SRR5712518_1.fastq	Conventional base calls	Sanger / Illumina 1.9	23907550.0	0.0	50-150	53.0	14.06933724935843	148.13070373166636	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
SRR5712518_2	SRR5712518_2.fastq	Conventional base calls	Sanger / Illumina 1.9	23907550.0	0.0	50-150	52.0	10.63474451141003	148.76527477721473	pass	pass	pass	fail	fail	pass	warn	fail	warn	fail
SRR5712519_1	SRR5712519_1.fastq	Conventional base calls	Sanger / Illumina 1.9	22620429.0	0.0	51-150	52.0	15.417231341170531	148.48102332630384	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
SRR5712519_2	SRR5712519_2.fastq	Conventional base calls	Sanger / Illumina 1.9	22620429.0	0.0	50-150	51.0	11.816895594627477	148.58595413906608	pass	pass	pass	fail	fail	pass	warn	fail	warn	fail
SRR5712520_1	SRR5712520_1.fastq	Conventional base calls	Sanger / Illumina 1.9	15610786.0	0.0	69-150	51.0	25.016914669307504	148.1025592177101	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
SRR5712520_2	SRR5712520_2.fastq	Conventional base calls	Sanger / Illumina 1.9	15610786.0	0.0	50-150	49.0	15.687025897463355	148.80970689112002	pass	pass	pass	fail	fail	pass	warn	fail	warn	fail
SRR5712521_1	SRR5712521_1.fastq	Conventional base calls	Sanger / Illumina 1.9	16331974.0	0.0	61-150	50.0	20.75975938383579	149.1513745980737	pass	pass	pass	fail	warn	pass	warn	fail	fail	fail
SRR5712521_2	SRR5712521_2.fastq	Conventional base calls	Sanger / Illumina 1.9	16331974.0	0.0	50-150	49.0	19.428275697294477	148.3440576136112	pass	pass	pass	fail	fail	pass	warn	fail	warn	fail
