Sample	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-percent_gc	FastQC_mqc-generalstats-avg_sequence_length	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-total_sequences
SRR5712482_clean_1	86.03012770221127	49.0	146.2138919050537	40.0	14341244.0
SRR5712482_clean_2	85.62055156037516	47.0	145.39792670705555	40.0	14341244.0
SRR5712483_clean_1	88.13488785580945	52.0	146.84562249395142	30.0	14448044.0
SRR5712483_clean_2	87.02215990093627	49.0	145.94211818568658	30.0	14448044.0
SRR5712484_clean_1	83.92806342542269	49.0	146.53556679785115	20.0	17936827.0
SRR5712484_clean_2	83.83600330597613	47.0	145.85698479446782	30.0	17936827.0
SRR5712485_clean_1	90.61967659091465	50.0	147.57928687973416	40.0	13457113.0
SRR5712485_clean_2	90.01673838675455	48.0	146.6988461789687	40.0	13457113.0
SRR5712486_clean_1	83.93322840234268	50.0	145.86168722087925	40.0	12935710.0
SRR5712486_clean_2	84.43407693977366	48.0	145.17037224860482	40.0	12935710.0
SRR5712487_clean_1	67.79722667549362	49.0	145.88743664179913	20.0	28198599.0
SRR5712487_clean_2	73.40013124045231	47.0	145.8447785296	20.0	28198599.0
SRR5712488_clean_1	83.58522989053242	52.0	145.80196674796298	40.0	24544782.0
SRR5712488_clean_2	87.62065692836147	50.0	145.63484320211114	30.0	24544782.0
SRR5712489_clean_1	78.50588150483455	50.0	141.80579716748608	40.0	24799525.0
SRR5712489_clean_2	83.32101625392306	48.0	141.6775424932534	40.0	24799525.0
SRR5712490_clean_1	83.4728728341198	50.0	145.6990907009033	20.0	27191383.0
SRR5712490_clean_2	89.25887239581293	48.0	146.43191576537316	40.0	27191383.0
SRR5712491_clean_1	71.63342980388057	47.0	144.3648856806118	30.0	19238294.0
SRR5712491_clean_2	78.03264461173693	46.0	144.27853919895392	40.0	19238294.0
SRR5712492_clean_1	80.71304255775823	51.0	143.01730577861233	10.0	18314345.0
SRR5712492_clean_2	85.78065640005032	50.0	144.5196039498	20.0	18314345.0
SRR5712493_clean_1	83.7231920596271	51.0	143.89887709054014	10.0	20570581.0
SRR5712493_clean_2	90.75882210031288	49.0	145.23183944099586	20.0	20570581.0
SRR5712494_clean_1	81.68221026435418	50.0	145.5064142324512	10.0	20462308.0
SRR5712494_clean_2	89.62121314544926	48.0	146.62797593507048	20.0	20462308.0
SRR5712495_clean_1	77.5898954839877	50.0	145.30030443348159	10.0	22668663.0
SRR5712495_clean_2	87.6038996823132	48.0	146.8329403458863	20.0	22668663.0
SRR5712496_clean_1	79.60572353731541	51.0	144.92116445801278	10.0	13912773.0
SRR5712496_clean_2	86.67307962276612	49.0	146.27104438489724	20.0	13912773.0
SRR5712497_clean_1	78.15965812831149	49.0	144.79451859385102	10.0	22334561.0
SRR5712497_clean_2	87.66372768407507	47.0	146.19302232983222	30.0	22334561.0
SRR5712498_clean_1	79.91148530209303	50.0	145.24387503818633	10.0	20694578.0
SRR5712498_clean_2	89.30629071377196	48.0	146.656847798491	20.0	20694578.0
SRR5712499_clean_1	71.90332431110564	49.0	143.6969115824936	40.0	20933083.0
SRR5712499_clean_2	76.47691773279765	47.0	143.04417614930395	40.0	20933083.0
SRR5712500_clean_1	83.03796252470437	52.0	145.36353525800155	40.0	20026759.0
SRR5712500_clean_2	87.62162565213315	50.0	145.42865652899704	40.0	20026759.0
SRR5712501_clean_1	83.30285286586421	51.0	145.43785869211467	30.0	18681760.0
SRR5712501_clean_2	88.05013352803829	49.0	145.3647543914492	40.0	18681760.0
SRR5712502_clean_1	84.1882574672411	52.0	144.23008642279277	40.0	22768762.0
SRR5712502_clean_2	88.07866404158294	50.0	144.1229325951055	30.0	22768762.0
SRR5712503_clean_1	75.20041651948908	50.0	145.64116774220054	40.0	24072231.0
SRR5712503_clean_2	82.14773494010277	48.0	145.62341965728064	40.0	24072231.0
SRR5712504_clean_1	83.67848738708662	51.0	144.50172625191766	20.0	27303373.0
SRR5712504_clean_2	90.52355023772986	49.0	145.73432154334924	30.0	27303373.0
SRR5712505_clean_1	75.36114794768552	49.0	145.5399579364966	40.0	27804151.0
SRR5712505_clean_2	79.99060206501531	48.0	145.48181503546	40.0	27804151.0
SRR5712506_clean_1	88.78818289592775	52.0	144.9736559420585	30.0	31764051.0
SRR5712506_clean_2	93.03657840164999	50.0	146.56670573913888	40.0	31764051.0
SRR5712507_clean_1	87.77178184338199	52.0	146.1145775022031	20.0	29328934.0
SRR5712507_clean_2	91.0570745552905	49.0	146.1601186050608	40.0	29328934.0
SRR5712508_clean_1	79.80485595865068	49.0	146.15780829234276	20.0	30818070.0
SRR5712508_clean_2	86.68735877924897	47.0	146.09858005384504	40.0	30818070.0
SRR5712509_clean_1	84.64331888929017	52.0	145.19505848888957	20.0	31028970.0
SRR5712509_clean_2	91.98816901178326	49.0	145.94157102217702	40.0	31028970.0
SRR5712510_clean_1	85.14891204713716	51.0	144.79705972066137	20.0	27191226.0
SRR5712510_clean_2	90.78932562037096	49.0	145.7498501170929	40.0	27191226.0
SRR5712511_clean_1	74.46538464110516	48.0	144.48052900426555	30.0	36118877.0
SRR5712511_clean_2	82.19385633767443	46.0	144.65009839591636	40.0	36118877.0
SRR5712512_clean_1	86.73501943092431	52.0	145.09759601956455	20.0	27983672.0
SRR5712512_clean_2	91.38460719817436	49.0	145.7777907416868	40.0	27983672.0
SRR5712513_clean_1	85.44397979542123	51.0	145.20385312518633	20.0	32368790.0
SRR5712513_clean_2	89.95517753402815	49.0	145.94880540792536	20.0	32368790.0
