Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR5712482_1	SRR5712482_1.fastq	Conventional base calls	Sanger / Illumina 1.9	14341909.0	0.0	74-150	49.0	13.665868396884557	149.60618785128256	pass	pass	pass	fail	fail	pass	warn	fail	fail	warn
SRR5712482_2	SRR5712482_2.fastq	Conventional base calls	Sanger / Illumina 1.9	14341909.0	0.0	50-150	47.0	14.280579262920806	148.68034882943408	pass	pass	pass	fail	fail	pass	warn	fail	fail	warn
SRR5712483_1	SRR5712483_1.fastq	Conventional base calls	Sanger / Illumina 1.9	14448662.0	0.0	69-150	52.0	11.628070737726858	149.6444306054083	pass	pass	pass	fail	warn	pass	warn	fail	fail	warn
SRR5712483_2	SRR5712483_2.fastq	Conventional base calls	Sanger / Illumina 1.9	14448662.0	0.0	50-150	49.0	12.932030099076277	148.61993456556738	pass	pass	pass	fail	fail	pass	warn	fail	warn	warn
SRR5712484_1	SRR5712484_1.fastq	Conventional base calls	Sanger / Illumina 1.9	17938042.0	0.0	63-150	49.0	15.571895844096447	149.55268027580715	pass	pass	pass	fail	warn	pass	warn	fail	warn	warn
SRR5712484_2	SRR5712484_2.fastq	Conventional base calls	Sanger / Illumina 1.9	17938042.0	0.0	50-150	47.0	15.84724754240871	148.77305750538437	pass	pass	pass	fail	fail	pass	warn	fail	warn	warn
SRR5712485_1	SRR5712485_1.fastq	Conventional base calls	Sanger / Illumina 1.9	13457841.0	0.0	58-150	50.0	9.22200142770047	149.6254403659547	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
SRR5712485_2	SRR5712485_2.fastq	Conventional base calls	Sanger / Illumina 1.9	13457841.0	0.0	52-150	48.0	9.90298949601378	148.73911974439287	pass	pass	pass	fail	fail	pass	warn	fail	warn	pass
SRR5712486_1	SRR5712486_1.fastq	Conventional base calls	Sanger / Illumina 1.9	12936346.0	0.0	69-150	50.0	15.792280371247724	149.61795471456932	pass	pass	pass	fail	fail	pass	warn	fail	fail	warn
SRR5712486_2	SRR5712486_2.fastq	Conventional base calls	Sanger / Illumina 1.9	12936346.0	0.0	51-150	48.0	15.48597707370103	148.88708109693417	pass	pass	pass	fail	fail	pass	warn	fail	warn	warn
SRR5712487_1	SRR5712487_1.fastq	Conventional base calls	Sanger / Illumina 1.9	28200785.0	0.0	72-150	49.0	32.09206835849944	149.30160568225318	pass	pass	pass	fail	warn	pass	warn	fail	fail	warn
SRR5712487_2	SRR5712487_2.fastq	Conventional base calls	Sanger / Illumina 1.9	28200785.0	0.0	51-150	47.0	26.361907249644865	149.23382806542443	pass	pass	pass	fail	warn	pass	warn	fail	warn	warn
SRR5712488_1	SRR5712488_1.fastq	Conventional base calls	Sanger / Illumina 1.9	24546274.0	0.0	71-150	52.0	16.74557071745143	149.33303897772836	pass	pass	pass	fail	fail	pass	warn	fail	fail	warn
SRR5712488_2	SRR5712488_2.fastq	Conventional base calls	Sanger / Illumina 1.9	24546274.0	0.0	60-150	50.0	12.479399237794786	149.15258535776144	pass	pass	pass	fail	fail	pass	warn	fail	warn	warn
SRR5712489_1	SRR5712489_1.fastq	Conventional base calls	Sanger / Illumina 1.9	24803172.0	0.0	73-150	50.0	21.24545030152892	149.12760222765056	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
SRR5712489_2	SRR5712489_2.fastq	Conventional base calls	Sanger / Illumina 1.9	24803172.0	0.0	50-150	48.0	16.16155122271055	148.9234845446381	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
SRR5712490_1	SRR5712490_1.fastq	Conventional base calls	Sanger / Illumina 1.9	27194925.0	0.0	65-150	50.0	16.598287321475897	148.56713993511656	pass	pass	pass	fail	warn	pass	warn	fail	warn	warn
SRR5712490_2	SRR5712490_2.fastq	Conventional base calls	Sanger / Illumina 1.9	27194925.0	0.0	52-150	48.0	10.66580826718578	148.9923127201123	pass	pass	pass	fail	fail	pass	warn	fail	warn	warn
SRR5712491_1	SRR5712491_1.fastq	Conventional base calls	Sanger / Illumina 1.9	19239781.0	0.0	78-150	48.0	28.23128641610257	149.27606140631227	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
SRR5712491_2	SRR5712491_2.fastq	Conventional base calls	Sanger / Illumina 1.9	19239781.0	0.0	50-150	46.0	21.819986575006553	149.086629260489	pass	pass	pass	fail	fail	pass	warn	fail	warn	fail
SRR5712492_1	SRR5712492_1.fastq	Conventional base calls	Sanger / Illumina 1.9	18318851.0	0.0	71-150	51.0	18.96795340661877	147.52724589549857	pass	pass	pass	warn	warn	pass	warn	fail	warn	fail
SRR5712492_2	SRR5712492_2.fastq	Conventional base calls	Sanger / Illumina 1.9	18318851.0	0.0	54-150	50.0	13.890507105077385	148.99581813291675	pass	pass	pass	fail	pass	pass	warn	fail	warn	fail
SRR5712493_1	SRR5712493_1.fastq	Conventional base calls	Sanger / Illumina 1.9	20574542.0	0.0	73-150	51.0	16.027036743082263	147.9512044545147	pass	pass	pass	warn	warn	pass	warn	fail	warn	warn
SRR5712493_2	SRR5712493_2.fastq	Conventional base calls	Sanger / Illumina 1.9	20574542.0	0.0	50-150	49.0	8.902831929899952	148.96034827895562	pass	pass	pass	fail	warn	pass	warn	fail	warn	warn
SRR5712494_1	SRR5712494_1.fastq	Conventional base calls	Sanger / Illumina 1.9	20465373.0	0.0	87-150	50.0	18.21589079475846	148.03420421411326	pass	pass	pass	warn	warn	pass	warn	fail	warn	pass
SRR5712494_2	SRR5712494_2.fastq	Conventional base calls	Sanger / Illumina 1.9	20465373.0	0.0	54-150	48.0	10.213021331446004	148.8600288887967	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
SRR5712495_1	SRR5712495_1.fastq	Conventional base calls	Sanger / Illumina 1.9	22672436.0	0.0	73-150	50.0	22.305869515524105	147.98185073716826	pass	pass	pass	warn	warn	pass	warn	fail	warn	warn
SRR5712495_2	SRR5712495_2.fastq	Conventional base calls	Sanger / Illumina 1.9	22672436.0	0.0	50-150	48.0	12.180842595808796	149.16118709079166	pass	pass	pass	fail	warn	pass	warn	fail	warn	warn
SRR5712496_1	SRR5712496_1.fastq	Conventional base calls	Sanger / Illumina 1.9	13915851.0	0.0	87-150	51.0	20.1465718625965	148.05111739123967	pass	pass	pass	warn	warn	pass	warn	fail	warn	warn
