Sample	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-percent_gc	FastQC_mqc-generalstats-avg_sequence_length	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-total_sequences
SRR5712482_1	86.33413160311544	49.0	149.60618785128256	40.0	14341909.0
SRR5712482_2	85.71942073707919	47.0	148.68034882943408	40.0	14341909.0
SRR5712483_1	88.37192926227314	52.0	149.6444306054083	30.0	14448662.0
SRR5712483_2	87.06796990092373	49.0	148.61993456556738	30.0	14448662.0
SRR5712484_1	84.42810415590355	49.0	149.55268027580715	20.0	17938042.0
SRR5712484_2	84.15275245759129	47.0	148.77305750538437	30.0	17938042.0
SRR5712485_1	90.77799857229954	50.0	149.6254403659547	40.0	13457841.0
SRR5712485_2	90.09701050398623	48.0	148.73911974439287	30.0	13457841.0
SRR5712486_1	84.20771962875227	50.0	149.61795471456932	40.0	12936346.0
SRR5712486_2	84.51402292629896	48.0	148.88708109693417	30.0	12936346.0
SRR5712487_1	67.90793164150057	49.0	149.30160568225318	30.0	28200785.0
SRR5712487_2	73.63809275035513	47.0	149.23382806542443	20.0	28200785.0
SRR5712488_1	83.25442928254857	52.0	149.33303897772836	40.0	24546274.0
SRR5712488_2	87.52060076220522	50.0	149.15258535776144	30.0	24546274.0
SRR5712489_1	78.75454969847108	50.0	149.12760222765056	50.0	24803172.0
SRR5712489_2	83.83844877728944	48.0	148.9234845446381	50.0	24803172.0
SRR5712490_1	83.4017126785241	50.0	148.56713993511656	20.0	27194925.0
SRR5712490_2	89.33419173281422	48.0	148.9923127201123	30.0	27194925.0
SRR5712491_1	71.76871358389744	48.0	149.27606140631227	50.0	19239781.0
SRR5712491_2	78.18001342499345	46.0	149.086629260489	40.0	19239781.0
SRR5712492_1	81.03204659338124	51.0	147.52724589549857	20.0	18318851.0
SRR5712492_2	86.10949289492261	50.0	148.99581813291675	30.0	18318851.0
SRR5712493_1	83.97296325691774	51.0	147.9512044545147	10.0	20574542.0
SRR5712493_2	91.09716807010005	49.0	148.96034827895562	20.0	20574542.0
SRR5712494_1	81.78410920524153	50.0	148.03420421411326	10.0	20465373.0
SRR5712494_2	89.786978668554	48.0	148.8600288887967	20.0	20465373.0
SRR5712495_1	77.69413048447589	50.0	147.98185073716826	10.0	22672436.0
SRR5712495_2	87.8191574041912	48.0	149.16118709079166	20.0	22672436.0
SRR5712496_1	79.8534281374035	51.0	148.05111739123967	10.0	13915851.0
SRR5712496_2	86.91867644435239	50.0	149.01015827203094	20.0	13915851.0
SRR5712497_1	78.30620931046465	49.0	148.02603742385006	10.0	22338001.0
SRR5712497_2	87.87111825135774	47.0	149.1565133334894	30.0	22338001.0
SRR5712498_1	80.03740076527342	50.0	147.9691006667908	10.0	20698246.0
SRR5712498_2	89.51138590331003	48.0	149.09043172063951	20.0	20698246.0
SRR5712499_1	72.29977992103338	49.0	149.20827332315088	50.0	20935336.0
SRR5712499_2	76.87643117289107	47.0	148.56174364720013	50.0	20935336.0
SRR5712500_1	83.01579940143128	52.0	149.22420806017638	40.0	20028321.0
SRR5712500_2	87.7641107132359	50.0	149.26114375738237	30.0	20028321.0
SRR5712501_1	83.18779264071375	51.0	149.31443026131518	30.0	18682995.0
SRR5712501_2	88.02435393540006	49.0	149.21772542357368	40.0	18682995.0
SRR5712502_1	84.17426182039421	52.0	149.2337777635687	50.0	22771028.0
SRR5712502_2	88.26976857062759	50.0	149.11195902091026	40.0	22771028.0
SRR5712503_1	75.16651475159483	50.0	149.30516833620678	40.0	24073995.0
SRR5712503_2	82.23530632937964	48.0	149.2519396136786	40.0	24073995.0
SRR5712504_1	83.70928653185204	51.0	147.98781974256062	20.0	27307633.0
SRR5712504_2	90.68550403151288	50.0	148.98709990719445	30.0	27307633.0
SRR5712505_1	75.32208456475661	49.0	149.32364492786095	40.0	27806158.0
SRR5712505_2	80.09593252978041	48.0	149.23032703762956	40.0	27806158.0
SRR5712506_1	88.58752305405301	52.0	148.11297156594296	30.0	31768277.0
SRR5712506_2	93.03072854917396	50.0	149.1584220321423	30.0	31768277.0
SRR5712507_1	87.57285752725619	52.0	148.91559585112458	20.0	29333250.0
SRR5712507_2	91.08569173006664	49.0	148.79679667271782	30.0	29333250.0
SRR5712508_1	79.73019149207079	49.0	148.99845028555382	20.0	30821162.0
SRR5712508_2	86.76340556695052	47.0	148.78586031246974	30.0	30821162.0
SRR5712509_1	84.84528435192465	52.0	148.5074873126625	20.0	31033698.0
SRR5712509_2	92.34163771916745	49.0	149.02438388103153	30.0	31033698.0
SRR5712510_1	84.90858589955268	51.0	148.53054544005127	20.0	27195876.0
SRR5712510_2	90.9253078625688	49.0	149.2280219986295	30.0	27195876.0
SRR5712511_1	74.58060643381276	48.0	148.89516618312157	30.0	36124517.0
SRR5712511_2	82.58098421230794	47.0	148.98264760190426	40.0	36124517.0
SRR5712512_1	86.58753909959702	52.0	148.623140702566	20.0	27988260.0
SRR5712512_2	91.48687689883037	49.0	149.01922491787627	30.0	27988260.0
SRR5712513_1	85.26937272242154	51.0	148.59659415533707	20.0	32373056.0
SRR5712513_2	90.00199900523218	49.0	149.0494058392263	20.0	32373056.0
