Sample	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-percent_gc	FastQC_mqc-generalstats-avg_sequence_length	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-total_sequences
SRR5714908_clean_1	86.41637781516826	47.0	146.3352057581743	40.0	21744531.0
SRR5714908_clean_2	91.44143735111176	45.0	146.8841159646074	40.0	21744531.0
SRR5714909_clean_1	83.03307005919541	50.0	147.00809312485893	20.0	21855217.0
SRR5714909_clean_2	89.46763820734438	48.0	147.48434165627364	20.0	21855217.0
SRR5714910_clean_1	81.76532140946827	38.0	146.0293869401781	40.0	19864130.0
SRR5714910_clean_2	89.02584800157378	36.0	147.22242237641416	40.0	19864130.0
SRR5714911_clean_1	76.7578538142088	49.0	145.0250798682392	10.0	9467155.0
SRR5714911_clean_2	82.85319303743293	48.0	146.7328502596609	20.0	9467155.0
SRR5714912_clean_1	80.81011249885097	50.0	145.02810016974172	10.0	10572534.0
SRR5714912_clean_2	85.14267702084454	48.0	146.66719842187314	30.0	10572534.0
SRR5714913_clean_1	78.06825988113896	49.0	145.35734750980396	20.0	14247834.0
SRR5714913_clean_2	88.71264850081062	47.0	146.63073067808062	40.0	14247834.0
SRR5714914_clean_1	82.504150457527	50.0	145.923638324817	10.0	20271648.0
SRR5714914_clean_2	88.84894875558413	48.0	147.37277876963924	20.0	20271648.0
SRR5714915_clean_1	82.9461389206045	50.0	145.0830045514033	10.0	19992735.0
SRR5714915_clean_2	88.52294864589923	49.0	146.36238503636446	20.0	19992735.0
SRR5714916_clean_1	70.71134890722591	49.0	145.4177237524816	10.0	28870015.0
SRR5714916_clean_2	80.67361560273812	47.0	146.79558209443258	30.0	28870015.0
SRR5714917_clean_1	90.67489030218862	51.0	147.53895557942553	30.0	25443390.0
SRR5714917_clean_2	90.2424340387647	48.0	147.23041269264826	40.0	25443390.0
SRR5714918_clean_1	94.80766566246177	53.0	147.38377364272614	30.0	29943036.0
SRR5714918_clean_2	92.80671715475512	51.0	146.87576213046665	40.0	29943036.0
SRR5714919_clean_1	88.69422776297523	49.0	147.93372921877642	30.0	29415075.0
SRR5714919_clean_2	88.71469584353049	47.0	147.7148911230041	30.0	29415075.0
SRR5714920_clean_1	86.91675896174051	47.0	148.23773746291815	30.0	33315149.0
SRR5714920_clean_2	86.62838872840771	46.0	148.06631985947294	30.0	33315149.0
SRR5714921_clean_1	75.9997462530077	47.0	136.76269821728656	30.0	55649662.0
SRR5714921_clean_2	75.78813390328273	46.0	136.52737448791692	30.0	55649662.0
