Sample	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-percent_gc	FastQC_mqc-generalstats-avg_sequence_length	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-total_sequences
SRR5714908_1	86.46130801983563	47.0	148.7070594108249	40.0	21746744.0
SRR5714908_2	91.55722922088597	45.0	148.96851179192618	40.0	21746744.0
SRR5714909_1	83.07324168435488	50.0	148.78486005267757	20.0	21857117.0
SRR5714909_2	89.50348090132447	48.0	148.9906029235237	20.0	21857117.0
SRR5714910_1	81.86405458180184	38.0	148.21101840303285	40.0	19866182.0
SRR5714910_2	89.1912680345678	36.0	148.92172225141198	40.0	19866182.0
SRR5714911_1	76.9550825557377	49.0	147.5651635132525	10.0	9469049.0
SRR5714911_2	83.00105294216974	48.0	149.1015841189543	20.0	9469049.0
SRR5714912_1	81.01992298584045	50.0	147.58107729460514	10.0	10574619.0
SRR5714912_2	85.26290330711542	49.0	149.05843491855356	30.0	10574619.0
SRR5714913_1	78.27534550469184	49.0	147.9589107856556	20.0	14250455.0
SRR5714913_2	88.97356522761622	47.0	148.83550841008235	40.0	14250455.0
SRR5714914_1	82.54982101763375	50.0	148.1091800967738	10.0	20275527.0
SRR5714914_2	88.95056924876573	48.0	149.11620990172042	20.0	20275527.0
SRR5714915_1	82.99272940416556	50.0	148.0883127477022	10.0	19996796.0
SRR5714915_2	88.62400854960636	49.0	148.97550497589714	20.0	19996796.0
SRR5714916_1	70.84307431143345	49.0	148.08602797197517	10.0	28876259.0
SRR5714916_2	80.82980006556097	47.0	149.061852783631	30.0	28876259.0
SRR5714917_1	90.66886934744237	51.0	149.54917694014378	30.0	25443836.0
SRR5714917_2	90.2384448521719	48.0	149.1500187314523	30.0	25443836.0
SRR5714918_1	94.8840799499549	53.0	149.54424982891538	30.0	29945709.0
SRR5714918_2	92.69871003660462	51.0	149.02063253870529	40.0	29945709.0
SRR5714919_1	88.77504256870324	49.0	149.59999339121998	30.0	29415414.0
SRR5714919_2	88.69193994592709	47.0	149.2996283513127	30.0	29415414.0
SRR5714920_1	86.96146768998275	47.0	149.6144402346954	30.0	33315525.0
SRR5714920_2	86.60864132273774	46.0	149.36014044503275	30.0	33315525.0
SRR5714921_1	77.42615418856988	47.0	148.87402467616636	40.0	55664076.0
SRR5714921_2	77.03242136796005	46.0	148.64930987087615	40.0	55664076.0
